alpha,gamma,phi_wall,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,phi_MP,n_MP
6.945777800000000113e+00,2.541291699999999931e+00,5.843378200000000078e+00,4.923624000000000223e+00,4.538694999999999702e+00,4.112982999999999834e+00,3.712451999999999863e+00,3.343412999999999968e+00,3.015238999999999780e+00,2.733338999999999963e+00,2.497292999999999985e+00,2.304136999999999880e+00,2.145340000000000025e+00,2.015004999999999935e+00,1.907313000000000036e+00,1.817549999999999999e+00,1.741807000000000105e+00,1.677243000000000039e+00,1.621418999999999944e+00,1.572902000000000022e+00,1.529676999999999953e+00,1.491314999999999946e+00,1.457095000000000029e+00,-1.934636000000000022e+00,1.433540000000000092e-01
7.406917599999999879e+00,2.618028999999999940e+00,6.521617799999999576e+00,5.524051000000000045e+00,5.127422000000000146e+00,4.685160999999999909e+00,4.253356000000000137e+00,3.851874000000000020e+00,3.484960000000000058e+00,3.161331000000000113e+00,2.884624000000000077e+00,2.652470999999999801e+00,2.461739999999999817e+00,2.304352000000000178e+00,2.173868999999999829e+00,2.065182000000000073e+00,1.973757999999999901e+00,1.895701999999999998e+00,1.828915000000000068e+00,1.770486999999999922e+00,1.719068000000000040e+00,1.673880000000000035e+00,1.633420000000000094e+00,-1.887767999999999891e+00,1.508379999999999999e-01
7.911955899999999708e+00,7.181707000000000507e-01,3.920368299999999806e+00,2.214065000000000172e+00,2.135819999999999830e+00,2.049487000000000059e+00,1.973653000000000102e+00,1.899941000000000102e+00,1.832826999999999984e+00,1.769198000000000048e+00,1.711391000000000107e+00,1.657386999999999944e+00,1.608398999999999912e+00,1.563047999999999993e+00,1.521844999999999892e+00,1.483899999999999997e+00,1.449257000000000017e+00,1.417445000000000066e+00,1.388185000000000002e+00,1.363626000000000005e+00,1.337949000000000055e+00,1.314877999999999991e+00,1.293388999999999900e+00,-1.802783000000000024e+00,1.589889999999999914e-01
7.592978399999999795e+00,3.769908899999999896e+00,1.861502299999999943e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.421699999999999964e+00,1.850430000000000130e-01
5.999792099999999628e+00,3.173338100000000050e+00,6.384734100000000190e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.047736000000000001e+00,1.283610000000000029e-01
6.271841300000000174e+00,2.562165600000000154e+00,4.339309000000000083e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.367455000000000087e+00,1.710019999999999873e-01
6.577120299999999808e+00,2.779564199999999818e+00,1.940534200000000098e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.777130000000000098e+00,1.061870000000000036e-01
5.389641400000000360e+00,2.733272400000000157e+00,6.524876700000000085e+00,5.433459000000000039e+00,5.025177000000000227e+00,4.570642000000000316e+00,4.130938999999999695e+00,3.723109000000000002e+00,3.354843999999999937e+00,3.035346999999999795e+00,2.765009000000000050e+00,2.542426999999999992e+00,2.359589999999999854e+00,2.209499999999999797e+00,2.085735999999999812e+00,1.982741000000000087e+00,1.896228000000000025e+00,1.822648000000000046e+00,1.759476999999999958e+00,1.704142000000000046e+00,1.655755000000000088e+00,1.612638999999999934e+00,1.574163999999999897e+00,-2.125706999999999791e+00,1.187610000000000054e-01
7.211295500000000303e+00,3.279195999999999778e-01,8.249954199999999460e+00,3.622803000000000218e+00,3.585895999999999972e+00,3.546040000000000081e+00,3.507765000000000022e+00,3.469698999999999867e+00,3.431562000000000001e+00,3.394266000000000005e+00,3.356806999999999874e+00,3.319993000000000194e+00,3.283366000000000007e+00,3.247062000000000115e+00,3.211292999999999953e+00,3.175683999999999951e+00,3.140791000000000111e+00,3.106152999999999942e+00,3.072045000000000137e+00,3.038443000000000005e+00,3.005231000000000208e+00,2.972731000000000012e+00,2.940612999999999921e+00,-1.921650000000000080e+00,1.462910000000000044e-01
4.728056699999999779e+00,1.992170599999999903e+00,2.951783000000000046e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.394544000000000006e+00,1.559139999999999970e-01
8.543338999999999794e-01,5.080651000000000472e-01,1.847175299999999964e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.379882999999999971e+00,5.143799999999999761e-02
3.564388300000000065e+00,2.129039300000000079e+00,5.815990900000000074e+00,3.946108000000000171e+00,3.662103999999999804e+00,3.356132999999999811e+00,3.068411999999999917e+00,2.807875999999999816e+00,2.574152999999999913e+00,2.373140999999999945e+00,2.201239999999999863e+00,2.057026000000000021e+00,1.936720999999999915e+00,1.835727000000000109e+00,1.751344000000000012e+00,1.680023999999999962e+00,1.618854999999999933e+00,1.566160999999999914e+00,1.519771999999999901e+00,1.479259000000000102e+00,1.442814000000000041e+00,1.410109999999999975e+00,1.380570000000000075e+00,-2.432548000000000155e+00,8.662599999999999467e-02
1.388419599999999976e+00,3.108334800000000175e+00,2.010351299999999952e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.038492000000000193e+00,9.387900000000000411e-02
1.573572000000000026e-01,3.176126000000000005e+00,5.949765199999999865e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.049209000000000280e+00,5.216000000000000150e-03
3.732292699999999908e+00,8.948741999999999530e-01,5.321754799999999896e+00,2.676518999999999870e+00,2.582168999999999937e+00,2.474149000000000154e+00,2.379554999999999865e+00,2.285927000000000042e+00,2.200705000000000133e+00,2.118863000000000163e+00,2.044487000000000165e+00,1.974580000000000002e+00,1.911302999999999974e+00,1.852624999999999966e+00,1.799589000000000105e+00,1.750752000000000086e+00,1.707219000000000042e+00,1.667124000000000050e+00,1.629810999999999899e+00,1.595666999999999947e+00,1.564653000000000072e+00,1.535922999999999927e+00,1.509706999999999910e+00,-2.405145999999999784e+00,8.862100000000000533e-02
8.053474000000000466e-01,3.529264200000000073e+00,8.124651399999999413e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.756669000000000036e+00,2.330499999999999933e-02
7.768238300000000152e+00,3.711163099999999826e+00,5.406273399999999896e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.844548000000000076e+00,1.563700000000000090e-01
1.199319199999999919e+00,3.377110599999999963e+00,4.617238300000000351e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.183924000000000198e+00,3.750900000000000067e-02
5.196893300000000160e+00,3.482551899999999812e+00,8.303340999999999639e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.158004000000000033e+00,1.154359999999999969e-01
2.649445200000000167e+00,4.220480900000000091e+00,4.015658700000000358e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.525563000000000002e+00,7.317400000000000293e-02
5.176300999999999819e-01,4.209422999999999915e-01,4.250038799999999561e+00,9.655129999999999546e-01,9.254799999999999693e-01,8.861980000000000413e-01,8.520189999999999708e-01,8.211950000000000083e-01,7.936860000000000026e-01,7.695089999999999986e-01,7.475960000000000383e-01,7.285289999999999822e-01,7.111319999999999864e-01,6.956050000000000288e-01,6.814860000000000362e-01,6.685579999999999856e-01,6.568009999999999682e-01,6.458390000000000519e-01,6.357730000000000325e-01,6.263429999999999831e-01,6.175159999999999538e-01,6.092689999999999495e-01,6.014490000000000114e-01,-3.804066000000000169e+00,1.743400000000000158e-02
6.618096500000000049e+00,3.952496500000000079e+00,5.536702599999999919e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.960841000000000056e+00,1.395990000000000009e-01
4.020456399999999597e+00,1.312600500000000059e+00,6.118125599999999942e+00,3.380787000000000209e+00,3.228705000000000158e+00,3.063543000000000127e+00,2.903595999999999844e+00,2.752453000000000038e+00,2.610932000000000031e+00,2.479566000000000159e+00,2.360297000000000089e+00,2.252190000000000136e+00,2.154824000000000073e+00,2.067496999999999918e+00,1.989546999999999954e+00,1.920636999999999928e+00,1.858977000000000102e+00,1.804219999999999935e+00,1.754876000000000102e+00,1.710790000000000033e+00,1.670800999999999981e+00,1.634290000000000020e+00,1.601587000000000094e+00,-2.354629999999999779e+00,9.408600000000000296e-02
2.203805000000000014e+00,3.330427300000000201e+00,5.572894599999999699e+00,4.648004000000000246e+00,4.117539999999999978e+00,3.561266999999999960e+00,3.077669999999999906e+00,2.669001000000000179e+00,2.342426000000000119e+00,2.085310000000000219e+00,1.885348999999999942e+00,1.728739999999999943e+00,1.606354000000000060e+00,1.509254000000000095e+00,1.430501999999999940e+00,1.365796999999999928e+00,1.311101000000000072e+00,1.264583999999999930e+00,1.224512000000000045e+00,1.188854999999999995e+00,1.157616999999999896e+00,1.129561000000000037e+00,1.104357999999999951e+00,-2.825829000000000146e+00,5.765900000000000192e-02
5.244484999999999841e-01,2.842985899999999955e+00,3.011272899999999808e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.956090999999999802e+00,3.301199999999999968e-02
2.266120200000000029e+00,2.887468099999999982e+00,4.063392699999999635e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.708769999999999900e+00,5.812799999999999911e-02
3.772530000000000328e-02,4.215032800000000357e+00,8.644602700000000084e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.270863000000000298e+00,1.810999999999999893e-03
7.057667600000000263e+00,4.130652500000000060e+00,6.360644999999999882e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.915030000000000010e+00,1.471949999999999925e-01
7.350481699999999563e+00,2.157788899999999899e+00,7.522476000000000163e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.595903999999999989e+00,1.201959999999999973e-01
