alpha,gamma,phi_wall,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
9.4003485,0.8765393,3.6389737,2.21051,2.113422,2.002193,1.908246,1.817551,1.736865,1.66218,1.595857,1.535676,1.482299,1.434255,1.391552,1.354287,1.319786,1.288447,1.26047,1.234828,1.21179,1.190462,1.171056
4.5966324,0.4929959,4.0405066,1.975915,1.925866,1.873268,1.825239,1.778972,1.73507,1.69368,1.654157,1.617357,1.582151,1.549473,1.518377,1.489275,1.461826,1.435936,1.411684,1.388634,1.367165,1.346735,1.327547
5.1326302,0.3900996,5.3723089,2.589129,2.5473,2.503337,2.461662,2.420755,2.380384,2.341461,2.302944,2.265917,2.22958,2.194387,2.160253,2.127026,2.095101,2.063982,2.034163,2.005238,1.977396,1.950593,1.924686
2.4201013,0.4870034,8.5778151,3.517118,3.467006,3.41225,3.360203,3.30837,3.256967,3.206698,3.1565,3.107816,3.059447,3.012216,2.965829,2.920361,2.87613,2.832674,2.79076,2.749707,2.710039,2.671497,2.634182
2.9042117,0.4843221,8.8373364,3.642214,3.591751,3.536589,3.484092,3.431759,3.379785,3.328894,3.278004,3.228554,3.179356,3.131216,3.083861,3.037343,2.992011,2.947379,2.904242,2.861915,2.820917,2.78102,2.742307
5.4849541,0.8543484,3.3263364,1.789453,1.699312,1.598834,1.516015,1.437896,1.370717,1.309671,1.257277,1.21032,1.16999,1.133819,1.102586,1.076712,1.051223,1.028476,1.008241,0.989852,0.973047,0.957717,0.94345
8.7326723,0.4044551,3.6033664,1.980816,1.938063,1.893461,1.852053,1.812014,1.77341,1.736829,1.701312,1.668025,1.63584,1.605393,1.5763,1.54857,1.522315,1.497123,1.473448,1.450736,1.42924,1.40876,1.389237
8.5481434,0.460665,7.8164864,3.598153,3.54569,3.488217,3.433631,3.379207,3.325266,3.27245,3.219698,3.168556,3.117685,3.068047,3.019232,2.971424,2.924857,2.879153,2.835015,2.791785,2.750071,2.709494,2.670276
2.6912239,0.502978,8.9270293,3.657182,3.605033,3.547924,3.493632,3.439485,3.385766,3.333149,3.280557,3.229526,3.178744,3.129139,3.080342,3.0325,2.985886,2.940089,2.895849,2.852493,2.810615,2.769875,2.73046
9.2275632,0.4164457,4.6043512,2.467129,2.420609,2.371523,2.325402,2.280232,2.236049,2.19359,2.151835,2.11213,2.073293,2.036102,2.00017,1.965591,1.932509,1.90054,1.870206,1.840911,1.813051,1.786312,1.760757
2.4513365,0.865891,1.8004452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8374792,0.4109981,5.7530974,2.904444,2.858177,2.807907,2.760405,2.713411,2.667127,2.62221,2.57767,2.534833,2.49371,2.452792,2.41294,2.374128,2.336683,2.300121,2.265113,2.231041,2.198306,2.166698,2.136233
6.739347,0.3036217,8.6081834,3.699834,3.665868,3.629259,3.594024,3.55898,3.523797,3.489379,3.454766,3.420659,3.386707,3.35296,3.319679,3.286482,3.253836,3.221392,3.189323,3.157679,3.126277,3.095486,3.064966
6.3492833,0.8376351,8.0186798,3.848546,3.756711,3.649839,3.551512,3.451722,3.356215,3.261322,3.170515,3.081542,2.996941,2.915011,2.837795,2.764459,2.695125,2.62914,2.568079,2.510161,2.456825,2.406456,2.360358
7.7880837,0.9515646,1.8968359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1504786,0.9164027,5.8201538,3.202408,3.100204,2.978528,2.869901,2.761092,2.65932,2.561383,2.47027,2.383907,2.304007,2.229758,2.161281,2.098578,2.040704,1.988784,1.940229,1.896145,1.855197,1.818227,1.785006
4.2964879,0.8900431,3.6039915,1.852694,1.759497,1.654765,1.568386,1.486809,1.416213,1.352176,1.296848,1.247402,1.204659,1.166483,1.134602,1.105243,1.078654,1.054683,1.033455,1.014091,0.996511,0.980433,0.965529
9.6029327,0.8267265,1.0578462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1208399,0.8069168,1.6548869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5357135,0.3912496,9.9138218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.1334377,0.4242289,1.6066419,0.768578,0.723743,0.680216,0.642921,0.609897,0.58116,0.556574,0.534935,0.516728,0.500609,0.486708,0.474437,0.46352,0.453867,0.445068,0.437161,0.429902,0.423235,0.417133,0.411446
5.1074598,0.3881523,5.3838643,2.591076,2.549466,2.505741,2.464279,2.423579,2.3834,2.344659,2.306314,2.26944,2.233247,2.198182,2.164166,2.131041,2.099209,2.068173,2.038419,2.009554,1.981757,1.954995,1.929114
9.9583492,0.7859671,7.7907808,3.864261,3.774502,3.670463,3.574537,3.477288,3.383958,3.291292,3.202285,3.115104,3.0318,2.951137,2.874657,2.801406,2.733016,2.667262,2.605951,2.547872,2.494057,2.44313,2.396152
8.3671452,0.7385523,5.5150162,2.964518,2.882083,2.78763,2.702049,2.61665,2.536438,2.45859,2.385369,2.315134,2.249516,2.187276,2.129485,2.075105,2.024823,1.977743,1.934283,1.89369,1.8577,1.822366,1.78957
4.1718233,0.9419134,3.1052679,1.563652,1.462557,1.349907,1.258811,1.176032,1.106165,1.045419,0.994439,0.950803,0.91424,0.886801,0.858401,0.834671,0.814703,0.796918,0.78131,0.767221,0.75442,0.742786,0.731977
2.5428208,0.4513743,2.1277815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.4225556,0.5523945,6.9890953,3.206996,3.147846,3.082534,3.02124,2.960258,2.900617,2.842459,2.78524,2.730115,2.675883,2.624011,2.573479,2.525861,2.47883,2.433687,2.390469,2.348941,2.309484,2.271528,2.235692
6.7286011,0.6293354,5.2857724,2.73661,2.668062,2.591367,2.520854,2.452035,2.386288,2.32281,2.262134,2.204367,2.149265,2.097377,2.047982,2.001869,1.958011,1.917333,1.878683,1.842888,1.808981,1.777452,1.747702
8.9840873,0.5654932,8.8987925,3.987921,3.923541,3.851994,3.784367,3.716542,3.649617,3.583707,3.518223,3.454388,3.390923,3.329428,3.26867,3.209676,3.151985,3.095949,3.041658,2.988951,2.938318,2.889196,2.842368
4.0243301,0.5625227,2.3625209,0.942035,0.879996,0.817404,0.765109,0.718198,0.678138,0.643501,0.613809,0.588679,0.566859,0.54854,0.53241,0.51852,0.506177,0.49518,0.485389,0.476454,0.468429,0.461048,0.454265
6.4584428,0.7103371,4.0064545,2.173044,2.096982,2.013447,1.940011,1.86879,1.803876,1.742466,1.686567,1.634451,1.587043,1.54324,1.503299,1.466588,1.432934,1.402091,1.373599,1.348548,1.325077,1.302466,1.281446
6.5322814,0.537219,7.6306829,3.516563,3.45694,3.391061,3.328913,3.266873,3.20583,3.146044,3.086833,3.029481,2.972726,2.917974,2.864218,2.812242,2.761747,2.712881,2.665845,2.621606,2.578007,2.535771,2.495703
9.1845909,0.5236406,4.5271582,2.470617,2.41211,2.349443,2.291611,2.234994,2.180588,2.128428,2.078131,2.03054,1.984608,1.94159,1.900227,1.861454,1.824489,1.789706,1.756809,1.725723,1.696508,1.66877,1.642833
2.3128427,0.4050608,4.971525,2.131261,2.092079,2.051237,2.012981,1.975843,1.939709,1.905301,1.871664,1.839806,1.808867,1.779295,1.75091,1.723588,1.697598,1.672492,1.648673,1.625741,1.603839,1.582904,1.562786
7.0730838,0.6648364,6.4314728,3.213446,3.1397,3.056477,2.979574,2.902737,2.828881,2.756685,2.687115,2.620244,2.556264,2.494823,2.435901,2.380301,2.32718,2.277432,2.230032,2.185888,2.143881,2.104896,2.067838
5.0817179,0.3949245,6.6982395,3.077743,3.035001,2.988682,2.944639,2.900988,2.857715,2.815608,2.773657,2.732975,2.692736,2.653418,2.614967,2.577218,2.54064,2.506311,2.471476,2.437491,2.404502,2.372546,2.341428
4.7117105,0.6291758,6.6550766,3.148952,3.081419,3.005959,2.935863,2.866032,2.798512,2.732673,2.668762,2.607583,2.548434,2.491671,2.436672,2.384847,2.334868,2.287894,2.242926,2.200658,2.160458,2.122631,2.086825
9.1585614,0.9786652,6.0823766,3.400153,3.2898,3.156884,3.037153,2.917805,2.80528,2.697225,2.596104,2.501157,2.412442,2.331126,2.255307,2.187104,2.123772,2.067437,2.014701,1.966885,1.923258,1.884083,1.847219
6.9904316,0.7575062,1.3398743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.4068238,0.933203,8.4929316,4.176343,4.072244,3.948271,3.834971,3.718916,3.608427,3.49789,3.392468,3.288862,3.190584,3.095572,3.006085,2.921448,2.841657,2.766811,2.69683,2.632155,2.57145,2.516265,2.464382
6.2850107,0.3915704,1.2743338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.770726,0.3692921,5.5922363,2.794304,2.753403,2.709216,2.667324,2.62595,2.585075,2.545457,2.507113,2.469178,2.431819,2.395402,2.359933,2.325191,2.291662,2.258823,2.227149,2.196316,2.166461,2.137623,2.1096
4.3908234,0.4877169,4.4460341,2.157078,2.107045,2.054255,2.005606,1.958425,1.913209,1.870265,1.828876,1.790054,1.752645,1.717615,1.684105,1.652519,1.622586,1.594196,1.567494,1.542012,1.518192,1.495457,1.47405
8.5292239,0.6765931,3.4275729,1.967626,1.894632,1.815289,1.746026,1.679467,1.619256,1.562836,1.51177,1.464595,1.421813,1.382618,1.346886,1.314302,1.284357,1.257118,1.23184,1.208879,1.190537,1.169979,1.151292
2.7467296,0.5618991,7.5317106,3.254023,3.195953,3.131917,3.071717,3.011814,2.953118,2.895861,2.839412,2.784996,2.731389,2.679978,2.629726,2.58233,2.535868,2.490788,2.447622,2.406027,2.366491,2.328366,2.292333
4.9713014,0.9359973,5.6201744,2.947228,2.847419,2.729234,2.623526,2.520123,2.424754,2.333012,2.24855,2.169291,2.096657,2.029694,1.968435,1.912603,1.861625,1.815947,1.772995,1.734255,1.698519,1.666026,1.637523
7.8611878,0.7592584,9.7420329,4.348854,4.264463,4.167852,4.077619,3.986143,3.896981,3.808268,3.721409,3.635961,3.552402,3.471008,3.391728,3.31524,3.241143,3.170306,3.102092,3.037395,2.975451,2.91817,2.862062
3.1100888,0.3202889,1.4638566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.4657097,0.6185597,5.0725394,2.571309,2.504441,2.431855,2.365503,2.300354,2.238347,2.178774,2.122001,2.068213,2.017007,1.969009,1.923346,1.880894,1.840502,1.803153,1.767711,1.734802,1.703737,1.674742,1.647483
8.9341315,0.7385935,8.2928823,3.947761,3.864183,3.768452,3.679494,3.589547,3.502439,3.416103,3.332237,3.250161,3.170648,3.093677,3.019496,2.9484,2.880299,2.815882,2.754781,2.696459,2.641273,2.589432,2.540554
7.9478752,0.6546567,1.9462797,1.020113,0.946407,0.870297,0.807963,0.751742,0.704644,0.663731,0.629491,0.600487,0.576086,0.55579,0.538465,0.524013,0.511234,0.500068,0.490068,0.481029,0.472903,0.465415,0.458592
6.5674064,0.8536568,4.7723119,2.623511,2.52972,2.422536,2.328715,2.235926,2.1516,2.070633,1.997168,1.928098,1.865677,1.807746,1.755469,1.707267,1.664524,1.62489,1.588092,1.55437,1.523811,1.49544,1.469612
4.2647743,0.8454493,3.6475899,1.853853,1.766119,1.668513,1.587273,1.510159,1.443514,1.382318,1.329515,1.281696,1.240424,1.203067,1.170677,1.141358,1.117115,1.093035,1.071614,1.052134,1.034304,1.018022,1.002853
7.4015348,0.6551038,9.3292155,4.128413,4.05548,3.973459,3.896319,3.818633,3.742371,3.666976,3.592527,3.519717,3.447777,3.37806,3.309302,3.243229,3.178482,3.116365,3.05608,2.998381,2.942857,2.889842,2.839466
5.4142635,0.763794,6.7963847,3.326856,3.244023,3.149053,3.061948,2.974469,2.891115,2.809271,2.731292,2.655926,2.584879,2.516483,2.452002,2.390916,2.333687,2.279813,2.22957,2.182439,2.138588,2.0975,2.060204
3.7702667,0.8865341,8.9819617,4.033329,3.94051,3.832399,3.732656,3.631223,3.533805,3.436762,3.343515,3.251878,3.164348,3.079322,2.998822,2.921391,2.849233,2.780087,2.715557,2.654262,2.597731,2.54428,2.494838
3.7660086,0.6524543,2.670687,1.131836,1.061965,0.989748,0.930277,0.876453,0.831052,0.791385,0.757866,0.729127,0.704536,0.683568,0.665196,0.649454,0.635359,0.622941,0.611713,0.601499,0.592217,0.583589,0.575654
8.2678104,0.4120519,5.7978227,2.902876,2.856756,2.806653,2.759303,2.712463,2.666326,2.621554,2.577155,2.534449,2.493462,2.452664,2.412931,2.37423,2.336891,2.300431,2.265514,2.23153,2.198873,2.167341,2.136942
4.2563288,0.7873172,7.4991895,3.51311,3.429333,3.333162,3.244601,3.155404,3.070005,2.985858,2.905255,2.826965,2.752341,2.681535,2.61351,2.548947,2.488194,2.430853,2.377196,2.326753,2.279729,2.235581,2.194494
6.6156714,0.4959822,6.12356,2.992309,2.937734,2.877858,2.821664,2.765962,2.711491,2.658573,2.606489,2.556492,2.508385,2.461308,2.415481,2.371412,2.328947,2.288034,2.248957,2.211245,2.175498,2.141038,2.108376
8.9131902,0.8758861,2.6722142,1.622912,1.527683,1.421781,1.335869,1.256528,1.189304,1.129783,1.079526,1.035623,0.998515,0.965955,0.941637,0.915311,0.893684,0.874323,0.85717,0.841657,0.827498,0.814638,0.802686
8.930431,0.4896564,4.6011719,2.48089,2.426173,2.367862,2.313701,2.260661,2.209354,2.160114,2.112275,2.066935,2.022911,1.981415,1.941408,1.903541,1.867398,1.833058,1.800547,1.769532,1.740364,1.71247,1.686275
5.6719552,0.5758796,2.3777706,1.118778,1.058452,0.997022,0.945447,0.898717,0.858399,0.822998,0.792228,0.76562,0.742148,0.721937,0.703818,0.687982,0.673679,0.660816,0.649172,0.638432,0.62869,0.619599,0.611176
2.6631435,0.8169099,7.9915935,3.551146,3.467178,3.370751,3.281913,3.192396,3.106648,3.022117,2.941107,2.862386,2.787322,2.715367,2.647634,2.582602,2.521417,2.463648,2.409602,2.358773,2.311409,2.266921,2.225545
6.0663226,0.9309902,5.4311002,2.938912,2.838069,2.718529,2.611597,2.507156,2.410803,2.318322,2.233157,2.153446,2.080368,2.013188,1.951691,1.895805,1.844684,1.799018,1.756127,1.717501,1.681824,1.65126,1.620776
2.6430392,0.9662838,3.8532334,1.793987,1.69453,1.582501,1.490576,1.405625,1.332553,1.26786,1.21234,1.163957,1.122392,1.086119,1.05654,1.028272,1.003911,0.98198,0.962696,0.945046,0.929078,0.91441,0.900817
8.2656739,0.5580358,6.4380334,3.199318,3.13644,3.066661,3.001427,2.93647,2.873203,2.811482,2.751051,2.692831,2.635794,2.581941,2.529361,2.478796,2.429954,2.383422,2.338869,2.296409,2.256056,2.217566,2.181202
2.6771136,0.5149205,3.5403259,1.461183,1.412392,1.362352,1.318407,1.277437,1.240153,1.20619,1.174948,1.146794,1.12063,1.097091,1.075166,1.055094,1.036489,1.019179,1.003185,0.988122,0.974168,0.960991,0.94861
5.8477007,0.646752,4.1806421,2.195444,2.1268,2.052348,1.985858,1.921347,1.861513,1.804827,1.752194,1.70304,1.65738,1.615146,1.57583,1.539696,1.505917,1.475004,1.445988,1.419409,1.394469,1.371407,1.350511
2.1550696,0.4349811,4.3631467,1.80381,1.76316,1.721114,1.682498,1.645533,1.610304,1.577266,1.545503,1.516045,1.48779,1.461293,1.43615,1.412342,1.389937,1.368539,1.348525,1.329398,1.31134,1.294194,1.277866
7.4849514,0.9811631,4.7826744,2.759512,2.650171,2.521386,2.409776,2.300641,2.200414,2.106825,2.021057,1.943159,1.871935,1.808402,1.750274,1.699809,1.652127,1.610205,1.571662,1.537247,1.506971,1.477868,1.451103
4.6777421,0.3542883,6.8040495,3.076932,3.038834,2.997709,2.958449,2.919548,2.880833,2.843152,2.805523,2.768851,2.732552,2.696886,2.661963,2.62747,2.593985,2.560967,2.5288,2.499112,2.468236,2.438287,2.408942
4.4393212,0.8657348,6.9982688,3.407023,3.314786,3.207112,3.109266,3.010454,2.91735,2.82549,2.739234,2.655842,2.577814,2.502872,2.433757,2.368032,2.307696,2.25085,2.198685,2.14986,2.106294,2.063731,2.024887
9.073977,0.3059573,7.459927,3.434739,3.399633,3.361783,3.325441,3.28934,3.253189,3.217882,3.18245,3.147651,3.113071,3.078817,3.045112,3.011586,2.978755,2.946204,2.914167,2.882643,2.851498,2.821057,2.790994
2.8761772,0.7003275,9.5504277,3.975819,3.903499,3.822206,3.745842,3.669019,3.593732,3.519418,3.446198,3.374746,3.304339,3.236298,3.169393,3.105337,3.042748,2.982962,2.925097,2.869959,2.817304,2.767885,2.719532
6.930066,0.6241968,8.2781791,3.785227,3.71583,3.638124,3.565152,3.491918,3.420183,3.349563,3.280006,3.212316,3.14562,3.081342,3.018195,2.957734,2.898782,2.842404,2.787955,2.737025,2.687247,2.639525,2.594189
5.6054512,0.8536892,4.597609,2.478386,2.386224,2.281326,2.190122,2.100438,2.019521,1.942301,1.872739,1.807664,1.749235,1.695177,1.64667,1.601982,1.56253,1.52595,1.49223,1.46114,1.433108,1.407023,1.383258
4.8082682,0.800746,2.7990432,1.3876,1.301457,1.208264,1.132902,1.06329,1.005503,0.953836,0.911115,0.87355,0.842242,0.814882,0.791606,0.77122,0.756658,0.740738,0.72609,0.713296,0.701626,0.691052,0.68135
9.5520377,0.8570434,7.2246455,3.728744,3.631382,3.516721,3.412208,3.305931,3.205343,3.105295,3.010882,2.918435,2.831806,2.748694,2.670913,2.596858,2.528284,2.463824,2.404189,2.348675,2.297386,2.250325,2.205665
7.5233497,0.7497529,1.2336011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9758634,0.5826732,5.2942729,2.72974,2.666056,2.595412,2.530073,2.466139,2.404727,2.345457,2.288298,2.233864,2.181416,2.131999,2.084438,2.040019,1.997459,1.957655,1.919807,1.884314,1.85077,1.819202,1.789504
5.7712863,0.3337449,5.7175343,2.743643,2.707723,2.669083,2.632307,2.596004,2.560007,2.525568,2.491429,2.457818,2.424697,2.392235,2.360589,2.329411,2.299275,2.26965,2.240869,2.212815,2.185444,2.15896,2.133075
